Customer_ID,Age_Group,Gender,Region,Annual_Income_£k,Annual_Purchases
192,45-54,Male,Scotland,40-60,12
193,45-54,Male,South England,20-40,9
194,25-34,Female,Wales,<20,14
195,55-64,Male,North England,20-40,11
196,25-34,Female,London,60-80,13
197,35-44,Male,London,20-40,22
198,55-64,Female,London,<20,17
199,45-54,Male,North England,80+,11
200,55-64,Male,South England,20-40,11
201,45-54,Male,Scotland,<20,13
202,45-54,Male,Midlands,20-40,14
203,18-24,Male,South England,20-40,11
204,35-44,Male,North England,20-40,12
205,25-34,Male,Wales,80+,12
206,25-34,Male,North England,60-80,14
207,65+,Female,London,40-60,10
208,35-44,Female,South England,20-40,13
209,65+,Male,London,40-60,9
210,45-54,Female,Midlands,20-40,7
211,55-64,Female,Wales,<20,14
212,45-54,Male,London,80+,16
213,45-54,Female,Midlands,20-40,11
214,35-44,Male,North England,20-40,11
215,25-34,Female,London,40-60,17
216,55-64,Male,London,40-60,16
217,35-44,Female,Scotland,<20,9
218,18-24,Female,Wales,<20,11
219,45-54,Male,Wales,20-40,11
220,25-34,Male,North England,40-60,5
221,65+,Female,Scotland,20-40,15
222,65+,Male,Midlands,20-40,14
223,65+,Female,Midlands,40-60,7
224,35-44,Female,North England,80+,11
225,18-24,Female,Wales,20-40,11
226,65+,Female,Midlands,<20,10
227,35-44,Female,North England,40-60,9
228,65+,Female,Midlands,60-80,7
229,65+,Male,South England,<20,18
230,55-64,Male,London,20-40,18
231,35-44,Male,Wales,<20,10
232,35-44,Female,South England,<20,14
233,55-64,Female,North England,40-60,18
234,35-44,Male,North England,20-40,14
235,25-34,Female,South England,60-80,8
236,45-54,Female,London,40-60,12
237,65+,Male,London,40-60,9
238,45-54,Female,Scotland,20-40,11
239,45-54,Male,Midlands,40-60,8
240,18-24,Female,Scotland,<20,14
241,45-54,Male,London,80+,13
242,65+,Female,South England,80+,17
243,25-34,Female,Midlands,20-40,4
244,45-54,Male,South England,<20,5
245,65+,Female,Scotland,<20,11
246,55-64,Female,North England,40-60,8
247,45-54,Male,South England,40-60,10
248,55-64,Male,Scotland,60-80,11
249,35-44,Female,Scotland,60-80,19
250,35-44,Male,Scotland,20-40,7
251,55-64,Male,North England,40-60,12
252,55-64,Male,North England,40-60,9
253,55-64,Male,North England,40-60,18
254,65+,Female,Midlands,40-60,15
255,45-54,Male,North England,40-60,7
256,45-54,Male,North England,40-60,13
257,55-64,Male,North England,40-60,14
258,45-54,Male,South England,40-60,7
259,55-64,Female,North England,60-80,18
260,55-64,Male,Midlands,40-60,13
261,65+,Other,Scotland,40-60,12
262,35-44,Female,South England,40-60,10
263,35-44,Male,London,20-40,12
264,18-24,Female,North England,20-40,12
265,45-54,Male,Scotland,<20,10
266,18-24,Female,Scotland,40-60,9
267,35-44,Other,South England,40-60,13
268,45-54,Male,London,80+,8
269,35-44,Male,Wales,20-40,16
270,45-54,Female,Midlands,20-40,18
271,18-24,Male,Wales,20-40,9
272,18-24,Male,Scotland,<20,11
273,55-64,Male,Wales,60-80,10
274,35-44,Male,Scotland,20-40,9
275,25-34,Female,Wales,40-60,14
276,45-54,Male,Scotland,40-60,7
277,55-64,Male,Scotland,40-60,10
278,25-34,Female,South England,60-80,12
279,45-54,Male,London,20-40,7
280,18-24,Male,Scotland,20-40,20
281,18-24,Female,Midlands,80+,10
282,45-54,Male,Midlands,60-80,7
283,45-54,Female,North England,20-40,13
284,45-54,Female,Scotland,<20,12
285,55-64,Male,Scotland,<20,15
286,65+,Female,Scotland,20-40,9
287,45-54,Male,Wales,80+,8
288,35-44,Male,Scotland,40-60,12
289,55-64,Female,Scotland,20-40,14
290,25-34,Female,Midlands,80+,16
291,35-44,Male,London,40-60,16
292,18-24,Female,London,20-40,8
293,18-24,Female,North England,80+,12
294,65+,Female,Midlands,60-80,8
295,55-64,Female,Scotland,60-80,12
296,45-54,Male,London,40-60,16
297,35-44,Male,South England,60-80,11
298,25-34,Female,South England,20-40,13
299,25-34,Male,South England,40-60,12
300,25-34,Female,Scotland,80+,17
301,45-54,Male,Scotland,20-40,13
302,55-64,Male,North England,60-80,10
303,45-54,Male,North England,40-60,12
304,25-34,Other,North England,<20,8
305,65+,Male,Wales,60-80,10
306,55-64,Female,South England,20-40,10
307,45-54,Male,Scotland,40-60,14
308,45-54,Male,South England,<20,12
309,35-44,Male,North England,80+,14
310,25-34,Female,Scotland,20-40,12
311,35-44,Male,Midlands,20-40,16
312,55-64,Male,London,<20,20
313,18-24,Male,London,80+,15
314,25-34,Male,North England,60-80,10
315,18-24,Female,South England,60-80,8
316,18-24,Female,Midlands,40-60,16
317,55-64,Male,Scotland,40-60,8
318,55-64,Female,South England,<20,8
319,35-44,Female,North England,40-60,14
320,18-24,Male,South England,20-40,4
321,35-44,Female,North England,80+,11
322,35-44,Female,Wales,60-80,18
323,25-34,Male,London,20-40,13
324,35-44,Male,London,20-40,14
325,35-44,Female,South England,60-80,13
326,45-54,Female,Midlands,<20,20
327,45-54,Male,Scotland,20-40,12
328,18-24,Male,North England,20-40,10
329,35-44,Male,Scotland,40-60,15
330,45-54,Female,London,60-80,10
331,45-54,Female,Midlands,20-40,17
332,55-64,Other,Midlands,<20,16
333,45-54,Male,Scotland,40-60,9
334,25-34,Female,London,60-80,11
335,18-24,Female,Scotland,20-40,6
336,45-54,Male,South England,20-40,12
337,18-24,Male,Midlands,80+,13
338,45-54,Female,Midlands,80+,16
339,65+,Female,South England,80+,15
340,45-54,Female,London,60-80,8
341,35-44,Female,Midlands,20-40,8
342,45-54,Male,Wales,20-40,6
343,35-44,Female,Wales,20-40,10
344,45-54,Female,Wales,20-40,14
345,65+,Female,North England,80+,10
346,35-44,Other,North England,60-80,20
347,65+,Female,London,60-80,15
348,65+,Male,South England,20-40,10
349,25-34,Female,Scotland,80+,14
350,18-24,Male,London,60-80,15
351,25-34,Male,Scotland,20-40,10
352,18-24,Male,London,60-80,13
353,18-24,Male,North England,20-40,17
354,45-54,Female,Wales,<20,11
355,18-24,Female,South England,40-60,11
356,35-44,Female,North England,40-60,7
357,55-64,Female,South England,<20,10
358,18-24,Male,Scotland,20-40,14
359,55-64,Female,London,80+,13
360,35-44,Male,Midlands,40-60,15
361,25-34,Male,Midlands,60-80,8
362,45-54,Female,South England,20-40,12
363,45-54,Male,Wales,<20,13
364,65+,Male,Wales,20-40,12
365,55-64,Female,South England,20-40,12
366,55-64,Female,North England,20-40,10
367,35-44,Male,Midlands,20-40,8
368,25-34,Female,North England,40-60,18
369,55-64,Female,Scotland,20-40,17
370,55-64,Female,Midlands,60-80,12
371,65+,Male,Scotland,20-40,11
372,35-44,Female,London,40-60,19
373,35-44,Female,North England,<20,10
374,55-64,Female,South England,40-60,11
375,35-44,Female,Midlands,<20,11
376,65+,Male,North England,80+,12
377,55-64,Male,South England,60-80,8
378,35-44,Male,London,40-60,9
379,55-64,Male,Midlands,<20,18
380,55-64,Female,Scotland,40-60,8
381,25-34,Male,London,60-80,11
382,65+,Female,Wales,20-40,11
383,45-54,Female,South England,40-60,13
384,55-64,Male,Midlands,60-80,6
385,35-44,Male,Midlands,60-80,9
386,65+,Female,London,60-80,10
387,35-44,Female,Midlands,60-80,14
388,18-24,Male,South England,80+,16
389,65+,Male,London,20-40,17
390,18-24,Female,Scotland,40-60,11
391,35-44,Female,London,60-80,7
392,65+,Male,London,40-60,10
393,65+,Female,Scotland,80+,8
394,45-54,Male,Wales,<20,10
395,45-54,Male,South England,20-40,10
396,35-44,Male,Wales,20-40,9
397,35-44,Male,Wales,20-40,23
398,35-44,Male,Wales,20-40,12
399,45-54,Female,North England,60-80,16
400,55-64,Male,Wales,<20,11
401,55-64,Male,North England,60-80,11
402,55-64,Male,Scotland,40-60,8
403,18-24,Female,South England,20-40,13
404,35-44,Male,Wales,20-40,10
405,18-24,Male,Midlands,40-60,12
406,45-54,Female,Scotland,60-80,14
407,35-44,Other,North England,60-80,16
408,65+,Male,South England,60-80,9
409,35-44,Female,London,80+,17
410,25-34,Female,South England,40-60,11
411,25-34,Female,South England,80+,13
412,55-64,Male,Wales,60-80,18
413,45-54,Female,Wales,80+,15
414,25-34,Male,North England,<20,10
415,18-24,Female,North England,80+,12
416,55-64,Female,Wales,40-60,10
417,18-24,Male,Wales,60-80,18
418,55-64,Female,Midlands,<20,7
419,55-64,Male,Midlands,20-40,13
420,18-24,Female,Scotland,20-40,13
421,18-24,Male,Wales,20-40,17
422,65+,Male,London,<20,18
423,35-44,Male,Midlands,60-80,14
424,35-44,Female,North England,<20,15
425,55-64,Male,South England,20-40,10
426,65+,Male,Scotland,20-40,8
427,65+,Male,Midlands,40-60,10
428,55-64,Female,South England,20-40,11
429,35-44,Female,South England,20-40,6
430,18-24,Male,Midlands,40-60,16
431,55-64,Male,London,40-60,15
432,45-54,Male,London,<20,13
433,35-44,Male,Scotland,20-40,10
434,65+,Male,London,20-40,14
435,25-34,Female,Scotland,80+,15
436,35-44,Male,North England,20-40,13
437,18-24,Male,Midlands,40-60,15
438,35-44,Male,South England,20-40,8
439,18-24,Female,Scotland,40-60,10
440,25-34,Female,London,<20,14
441,25-34,Female,Scotland,<20,9
442,45-54,Male,Wales,40-60,12
443,55-64,Male,Scotland,20-40,17
444,45-54,Male,London,<20,14
445,65+,Male,Wales,40-60,5
446,35-44,Female,Wales,80+,15
447,35-44,Female,London,20-40,13
448,55-64,Female,Wales,40-60,15
449,25-34,Female,Midlands,80+,10
450,65+,Male,South England,60-80,8
451,18-24,Female,Midlands,40-60,8
452,65+,Male,Midlands,60-80,14
453,18-24,Male,London,<20,11
454,65+,Female,London,40-60,18
455,45-54,Male,South England,20-40,11
456,65+,Male,Scotland,20-40,8
457,18-24,Male,Midlands,20-40,11
458,45-54,Female,Wales,<20,12
459,65+,Female,South England,40-60,13
460,45-54,Male,Midlands,40-60,10
461,45-54,Female,Scotland,40-60,14
462,45-54,Male,Wales,<20,12
463,35-44,Male,Midlands,<20,11
464,45-54,Female,North England,40-60,17
465,45-54,Female,South England,80+,23
466,65+,Other,London,<20,13
467,18-24,Male,Midlands,20-40,12
468,35-44,Female,Wales,60-80,14
469,65+,Female,Wales,<20,9
470,65+,Female,South England,60-80,14
471,35-44,Male,South England,40-60,16
472,45-54,Female,Wales,20-40,6
473,25-34,Female,Wales,20-40,11
474,25-34,Male,Wales,20-40,16
475,35-44,Male,Midlands,20-40,5
476,35-44,Male,Wales,80+,4
477,45-54,Female,London,60-80,14
478,18-24,Female,Wales,40-60,14
479,65+,Female,London,60-80,9
480,65+,Female,Midlands,20-40,14
481,45-54,Female,South England,40-60,10
482,45-54,Male,London,40-60,11
483,35-44,Male,Midlands,60-80,6
484,55-64,Female,Wales,20-40,10
485,45-54,Male,Midlands,40-60,12
486,25-34,Male,Wales,80+,11
487,65+,Female,Midlands,20-40,18
488,55-64,Male,South England,<20,12
489,65+,Male,London,40-60,12
490,55-64,Male,South England,20-40,9
491,45-54,Male,North England,40-60,7
492,35-44,Female,Wales,80+,15
493,65+,Female,London,40-60,12
494,55-64,Female,South England,40-60,12
495,18-24,Male,London,40-60,11
496,18-24,Female,North England,<20,12
497,35-44,Female,Scotland,20-40,14
498,55-64,Female,Wales,80+,11
499,65+,Male,Wales,40-60,12
500,25-34,Female,Midlands,<20,17
501,45-54,Female,Wales,20-40,17
502,35-44,Female,Wales,40-60,21
503,65+,Female,South England,60-80,9
504,55-64,Male,Wales,60-80,14
505,55-64,Female,Wales,20-40,17
506,35-44,Male,North England,80+,10
507,35-44,Female,North England,40-60,11
508,25-34,Male,London,40-60,15
509,18-24,Male,London,40-60,14
510,55-64,Male,Wales,<20,11
511,55-64,Female,Wales,80+,10
512,65+,Male,Midlands,<20,9
513,65+,Female,London,20-40,12
514,45-54,Female,South England,60-80,11
515,55-64,Male,Wales,40-60,17
516,65+,Male,South England,60-80,7
517,55-64,Male,Wales,40-60,12
518,25-34,Female,South England,20-40,13
519,35-44,Female,Scotland,80+,15
520,25-34,Male,South England,<20,16
521,65+,Male,London,60-80,19
522,45-54,Female,Wales,20-40,12
523,25-34,Female,London,60-80,9
524,45-54,Female,South England,<20,13
525,45-54,Female,North England,40-60,13
526,35-44,Male,North England,80+,17
527,25-34,Male,North England,40-60,12
528,45-54,Male,Wales,60-80,10
529,45-54,Male,Midlands,60-80,12
530,55-64,Male,Scotland,60-80,19
531,45-54,Male,South England,80+,12
532,55-64,Male,Midlands,20-40,9
533,45-54,Female,North England,20-40,18
534,45-54,Female,South England,<20,16
535,65+,Female,Midlands,20-40,10
536,35-44,Female,London,<20,12
537,25-34,Male,North England,40-60,14
538,18-24,Female,Midlands,20-40,8
539,55-64,Male,Wales,<20,11
540,45-54,Female,London,<20,9
541,55-64,Male,North England,60-80,20
542,25-34,Other,Scotland,40-60,15
543,25-34,Male,North England,20-40,10
544,18-24,Male,Wales,80+,14
545,35-44,Female,Scotland,<20,14
546,45-54,Male,Scotland,80+,10
547,35-44,Female,Scotland,40-60,9
548,35-44,Female,South England,20-40,7
549,65+,Female,South England,40-60,12
550,35-44,Female,Scotland,60-80,19
551,45-54,Female,London,20-40,14
552,55-64,Male,Scotland,60-80,13
553,35-44,Female,Midlands,20-40,13
554,45-54,Female,Scotland,20-40,8
555,55-64,Female,South England,<20,14
556,65+,Male,South England,20-40,7
557,25-34,Female,Midlands,20-40,9
558,65+,Other,Midlands,80+,18
559,35-44,Female,North England,<20,9
560,25-34,Male,London,20-40,7
561,35-44,Male,London,40-60,6
562,65+,Male,London,80+,10
563,35-44,Female,Wales,80+,12
564,35-44,Female,South England,60-80,14
565,45-54,Male,London,80+,10
566,25-34,Male,North England,60-80,10
567,18-24,Male,North England,80+,13
568,25-34,Male,London,60-80,20
569,25-34,Female,Midlands,<20,9
570,25-34,Female,North England,20-40,9
571,25-34,Male,Midlands,40-60,15
572,45-54,Female,South England,20-40,14
573,25-34,Male,Wales,20-40,10
574,35-44,Female,North England,40-60,6
575,65+,Male,Midlands,80+,11
576,35-44,Male,London,<20,10
577,45-54,Male,South England,60-80,12
578,25-34,Female,Scotland,60-80,13
579,25-34,Female,Scotland,80+,11
580,18-24,Female,London,80+,12
581,25-34,Male,South England,60-80,8
582,25-34,Male,South England,40-60,15
583,25-34,Male,South England,20-40,13
584,18-24,Female,South England,40-60,10
585,25-34,Male,Scotland,60-80,12
586,35-44,Female,Midlands,80+,6
587,25-34,Female,South England,60-80,17
588,35-44,Female,Midlands,20-40,16
589,45-54,Male,South England,40-60,10
590,45-54,Male,North England,20-40,11
591,18-24,Male,Wales,<20,13
592,55-64,Female,North England,20-40,6
593,45-54,Female,Wales,<20,4
594,18-24,Male,North England,60-80,11
595,65+,Male,South England,20-40,14
596,65+,Female,Midlands,20-40,10
597,18-24,Female,Wales,80+,12
598,25-34,Male,Scotland,20-40,21
599,55-64,Female,London,<20,14
600,55-64,Male,Wales,20-40,11
601,25-34,Male,Wales,<20,7
602,25-34,Female,Scotland,<20,10
603,35-44,Female,South England,<20,13
604,35-44,Female,North England,40-60,10
605,45-54,Male,North England,20-40,10
606,35-44,Female,Midlands,20-40,12
607,35-44,Male,South England,60-80,8
608,55-64,Male,Scotland,20-40,9
609,18-24,Female,South England,80+,15
610,25-34,Male,South England,40-60,14
611,55-64,Female,North England,20-40,6
612,65+,Female,Scotland,60-80,13
613,45-54,Male,London,<20,17
614,45-54,Male,Wales,<20,9
615,25-34,Male,North England,40-60,14
616,35-44,Male,Scotland,40-60,10
617,45-54,Female,Midlands,60-80,12
618,25-34,Female,Wales,80+,13
619,25-34,Male,Wales,20-40,9
620,35-44,Male,North England,40-60,11
621,18-24,Female,Midlands,40-60,18
622,35-44,Female,North England,80+,10
623,25-34,Male,South England,60-80,11
624,35-44,Male,Scotland,80+,11
625,25-34,Female,Midlands,20-40,12
626,65+,Male,Wales,60-80,15
627,45-54,Male,North England,20-40,8
628,45-54,Female,Wales,20-40,15
629,55-64,Female,Midlands,80+,14
630,35-44,Female,Wales,<20,9
631,18-24,Female,North England,80+,6
632,45-54,Female,North England,<20,9
633,45-54,Male,London,60-80,12
634,55-64,Male,Wales,20-40,14
635,35-44,Male,London,20-40,14
636,25-34,Male,London,20-40,13
637,35-44,Female,Wales,40-60,11
638,35-44,Female,Midlands,20-40,19
639,45-54,Female,South England,40-60,17
640,45-54,Female,North England,<20,10
641,35-44,Male,Scotland,<20,13
642,65+,Male,London,<20,14
643,45-54,Female,Midlands,20-40,18
644,25-34,Female,Wales,60-80,12
645,25-34,Female,Midlands,80+,13
646,25-34,Female,Midlands,20-40,10
647,25-34,Female,Wales,40-60,6
648,25-34,Female,Scotland,60-80,21
649,25-34,Male,Wales,20-40,13
650,35-44,Female,Scotland,20-40,14
651,25-34,Female,Wales,40-60,10
652,65+,Male,London,<20,10
653,18-24,Female,Scotland,<20,16
654,45-54,Male,London,20-40,5
655,35-44,Female,Scotland,40-60,9
656,65+,Male,Scotland,<20,15
657,25-34,Female,Wales,20-40,15
658,35-44,Male,Scotland,20-40,12
659,65+,Female,London,<20,14
660,55-64,Male,Wales,20-40,18
661,55-64,Male,North England,80+,12
662,25-34,Female,London,<20,6
663,25-34,Female,North England,40-60,9
664,45-54,Male,Midlands,20-40,9
665,65+,Male,Wales,40-60,11
666,45-54,Female,Midlands,40-60,9
667,45-54,Female,Wales,20-40,14
668,25-34,Female,Wales,60-80,11
669,55-64,Male,London,40-60,11
670,25-34,Female,North England,60-80,11
671,35-44,Male,Wales,20-40,4
672,35-44,Male,North England,80+,11
673,45-54,Female,Wales,60-80,17
674,25-34,Female,North England,80+,10
675,25-34,Female,Midlands,40-60,18
676,45-54,Male,London,40-60,12
677,35-44,Male,Wales,60-80,8
678,45-54,Male,South England,80+,14
679,25-34,Other,North England,80+,13
680,35-44,Male,North England,20-40,11
681,45-54,Male,South England,60-80,12
682,18-24,Male,London,20-40,5
683,35-44,Female,North England,40-60,12
684,25-34,Male,London,20-40,17
685,18-24,Female,North England,20-40,15
686,65+,Male,Scotland,80+,13
687,35-44,Female,North England,<20,9
688,55-64,Male,Scotland,40-60,9
689,25-34,Female,Wales,40-60,16
690,45-54,Female,London,<20,15
691,55-64,Male,North England,20-40,13
692,45-54,Female,Midlands,40-60,14
693,35-44,Male,Midlands,20-40,9
694,35-44,Female,South England,60-80,15
695,35-44,Female,Midlands,80+,10
696,65+,Male,Scotland,20-40,16
697,55-64,Male,Midlands,20-40,10
698,65+,Male,Midlands,40-60,13
699,25-34,Male,Midlands,60-80,12
700,55-64,Male,North England,20-40,15
701,65+,Male,South England,<20,16
702,25-34,Male,London,40-60,16
703,18-24,Female,South England,80+,11
704,55-64,Male,Scotland,20-40,13
705,45-54,Male,North England,20-40,5
706,55-64,Female,Wales,80+,13
707,25-34,Male,North England,40-60,12
708,55-64,Male,Midlands,60-80,11
709,25-34,Male,Midlands,40-60,15
710,25-34,Female,Scotland,80+,9
711,25-34,Female,Wales,40-60,16
712,55-64,Male,North England,80+,13
713,45-54,Female,Wales,40-60,9
714,45-54,Female,London,60-80,17
715,35-44,Female,South England,20-40,11
716,65+,Female,North England,20-40,12
717,35-44,Female,Wales,60-80,10
718,55-64,Male,London,20-40,14
719,35-44,Male,London,40-60,16
720,35-44,Male,South England,20-40,16
721,35-44,Female,London,60-80,14
722,35-44,Female,Scotland,<20,13
723,55-64,Female,London,60-80,11
724,45-54,Other,Wales,40-60,12
725,25-34,Male,Scotland,20-40,10
726,65+,Female,London,40-60,10
727,35-44,Female,Midlands,20-40,15
728,45-54,Female,London,20-40,13
729,65+,Other,Scotland,20-40,11
730,45-54,Female,London,<20,9
731,25-34,Male,London,80+,13
732,65+,Female,London,<20,9
733,45-54,Male,Scotland,40-60,15
734,35-44,Female,London,20-40,15
735,25-34,Female,South England,40-60,15
736,55-64,Male,Wales,20-40,11
737,45-54,Female,South England,40-60,17
738,45-54,Male,Scotland,60-80,11
739,65+,Male,Midlands,40-60,19
740,55-64,Male,South England,<20,10
741,25-34,Female,Wales,40-60,9
742,35-44,Female,North England,20-40,18
743,25-34,Female,Wales,<20,12
744,55-64,Male,South England,20-40,11
745,18-24,Female,North England,20-40,19
746,45-54,Female,Scotland,40-60,7
747,55-64,Male,Wales,60-80,15
748,65+,Male,Midlands,20-40,11
749,35-44,Male,North England,20-40,13
750,55-64,Female,North England,<20,10
751,25-34,Female,Wales,40-60,13
752,55-64,Female,South England,40-60,10
753,25-34,Male,North England,20-40,13
754,35-44,Female,Scotland,60-80,18
755,55-64,Male,Wales,40-60,18
756,25-34,Male,Scotland,40-60,10
757,25-34,Female,Wales,40-60,7
758,55-64,Male,Scotland,40-60,16
759,55-64,Female,South England,40-60,15
760,45-54,Male,Wales,20-40,19
761,45-54,Female,Midlands,<20,11
762,45-54,Male,South England,20-40,18
763,25-34,Female,Scotland,40-60,14
