date,district,gender,age_group,income_level,urban_rural,sales_amt_inr,cost_amt_inr,profit_amt_inr,margin_pct,month
2024-07-18,Surat,Male,51-65,Upper-middle,Urban,161.42,136.34,25.08,15.54,2024-07
2022-04-01,Other,Male,18-25,Upper-middle,Urban,111.88,103.17,8.71,7.79,2022-04
2024-06-29,Bhavnagar,Female,18-25,Upper-middle,Urban,173.13,151.91,21.23,12.26,2024-06
2023-10-14,Ahmedabad,Male,18-25,Lower-middle,Urban,33.15,30.56,2.59,7.82,2023-10
2021-10-23,Other,Male,51-65,Lower-middle,Rural,47.08,39.32,7.76,16.48,2021-10
2022-12-21,Surat,Female,0-17,High,Rural,147.79,123.74,24.05,16.27,2022-12
2021-12-04,Other,Male,26-35,Middle,Rural,34.32,30.21,4.12,11.99,2021-12
2023-05-29,Ahmedabad,Male,0-17,Upper-middle,Rural,89.59,86.31,3.29,3.67,2023-05
2023-12-13,Surat,Female,36-50,Lower-middle,Rural,118.31,109.17,9.13,7.72,2023-12
2023-03-03,Surat,Female,36-50,Lower-middle,Urban,92.89,91.27,1.63,1.75,2023-03
2021-08-05,Ahmedabad,Male,26-35,Middle,Urban,126.45,105.95,20.5,16.21,2021-08
2023-02-03,Rajkot,Female,0-17,Low,Urban,35.41,31.0,4.41,12.44,2023-02
2021-07-07,Other,Female,36-50,Upper-middle,Rural,104.21,98.14,6.07,5.83,2021-07
2022-01-15,Ahmedabad,Male,0-17,Lower-middle,Urban,139.53,121.45,18.08,12.96,2022-01
2022-05-08,Rajkot,Male,18-25,Middle,Urban,166.61,139.02,27.6,16.56,2022-05
2023-12-01,Rajkot,Male,18-25,Middle,Urban,111.05,95.17,15.88,14.3,2023-12
2024-03-26,Other,Female,26-35,Middle,Urban,101.28,87.61,13.67,13.5,2024-03
2021-01-15,Ahmedabad,Male,26-35,Lower-middle,Urban,144.05,119.37,24.68,17.13,2021-01
2021-03-06,Other,Female,18-25,Middle,Rural,165.69,140.41,25.29,15.26,2021-03
2022-06-05,Other,Female,26-35,Upper-middle,Urban,39.95,38.05,1.9,4.77,2022-06
2024-09-29,Ahmedabad,Male,26-35,Low,Urban,113.24,101.4,11.84,10.45,2024-09
2024-02-27,Other,Male,26-35,Upper-middle,Urban,129.54,125.0,4.54,3.51,2024-02
2022-10-10,Rajkot,Male,51-65,Lower-middle,Rural,110.77,91.77,19.0,17.15,2022-10
2023-12-23,Other,Male,0-17,Lower-middle,Urban,148.9,126.13,22.77,15.29,2023-12
2024-03-08,Rajkot,Female,26-35,Lower-middle,Rural,107.98,97.16,10.81,10.02,2024-03
2022-08-16,Ahmedabad,Female,0-17,High,Urban,178.07,137.1,40.97,23.01,2022-08
2022-01-27,Other,Male,36-50,Middle,Urban,110.02,90.52,19.49,17.72,2022-01
2022-02-23,Vadodara,Male,36-50,High,Urban,155.2,130.29,24.91,16.05,2022-02
2021-10-16,Surat,Male,36-50,Low,Rural,90.23,75.67,14.56,16.13,2021-10
2022-01-14,Ahmedabad,Female,26-35,High,Urban,172.5,149.53,22.97,13.31,2022-01
2021-08-19,Other,Female,0-17,Low,Urban,92.13,88.72,3.41,3.7,2021-08
2023-10-15,Other,Female,26-35,Low,Rural,139.7,123.74,15.95,11.42,2023-10
2021-02-10,Other,Male,0-17,Low,Rural,64.39,60.99,3.39,5.27,2021-02
2023-11-18,Surat,Male,26-35,Low,Rural,147.04,131.84,15.2,10.34,2023-11
2021-05-15,Surat,Male,51-65,Middle,Rural,80.48,72.84,7.64,9.5,2021-05
2021-07-20,Other,Other,18-25,Middle,Urban,109.87,98.46,11.41,10.39,2021-07
2023-02-19,Gandhinagar,Female,26-35,Lower-middle,Urban,123.21,105.47,17.74,14.4,2023-02
2023-07-19,Ahmedabad,Female,18-25,Low,Rural,66.16,55.61,10.55,15.95,2023-07
2023-11-23,Other,Female,0-17,Lower-middle,Rural,102.3,92.01,10.29,10.05,2023-11
2023-12-08,Surat,Male,26-35,High,Urban,157.43,132.09,25.34,16.1,2023-12
2022-05-18,Vadodara,Male,0-17,Lower-middle,Urban,131.55,108.25,23.3,17.71,2022-05
2022-02-11,Ahmedabad,Male,51-65,Middle,Urban,87.23,80.44,6.79,7.78,2022-02
2023-03-16,Other,Female,36-50,Lower-middle,Rural,84.04,78.06,5.98,7.11,2023-03
2021-04-09,Ahmedabad,Male,66+,Upper-middle,Urban,158.13,137.1,21.03,13.3,2021-04
2022-11-15,Rajkot,Male,66+,Middle,Rural,91.06,81.0,10.06,11.04,2022-11
2022-12-27,Rajkot,Female,36-50,Middle,Rural,75.91,67.52,8.38,11.04,2022-12
2023-08-19,Ahmedabad,Female,36-50,Low,Urban,96.07,86.87,9.2,9.58,2023-08
2022-09-05,Bhavnagar,Female,26-35,Middle,Urban,85.62,72.98,12.64,14.76,2022-09
2022-10-05,Other,Male,18-25,Lower-middle,Rural,93.98,83.71,10.27,10.93,2022-10
2023-10-26,Vadodara,Male,51-65,Middle,Urban,144.47,129.05,15.42,10.68,2023-10
2024-05-26,Ahmedabad,Female,18-25,Lower-middle,Rural,165.86,149.05,16.81,10.13,2024-05
2022-05-18,Ahmedabad,Female,36-50,Lower-middle,Urban,61.5,56.55,4.95,8.04,2022-05
2023-02-06,Ahmedabad,Female,36-50,Lower-middle,Urban,114.12,100.84,13.28,11.63,2023-02
2022-02-02,Other,Female,26-35,Low,Urban,57.94,51.03,6.91,11.93,2022-02
2023-05-21,Other,Female,36-50,Low,Urban,68.23,64.98,3.25,4.77,2023-05
2023-03-06,Ahmedabad,Male,18-25,Low,Urban,112.96,111.53,1.42,1.26,2023-03
2022-01-28,Ahmedabad,Male,36-50,Middle,Urban,83.97,76.71,7.25,8.64,2022-01
2021-07-26,Vadodara,Male,51-65,Lower-middle,Rural,63.97,58.45,5.51,8.61,2021-07
2023-11-05,Other,Female,26-35,High,Rural,145.78,127.26,18.52,12.7,2023-11
2023-06-11,Vadodara,Male,0-17,Upper-middle,Urban,125.81,122.56,3.25,2.58,2023-06
2023-05-14,Gandhinagar,Female,36-50,Lower-middle,Rural,75.56,63.97,11.6,15.35,2023-05
2023-01-13,Other,Female,18-25,Lower-middle,Rural,77.43,71.83,5.61,7.24,2023-01
2024-06-18,Vadodara,Male,26-35,Middle,Rural,95.96,91.64,4.33,4.51,2024-06
2022-07-18,Gandhinagar,Female,0-17,Low,Urban,56.86,52.48,4.38,7.71,2022-07
2023-10-18,Surat,Female,36-50,Low,Urban,84.76,74.57,10.2,12.03,2023-10
2021-04-06,Rajkot,Female,36-50,Lower-middle,Urban,107.3,97.57,9.73,9.07,2021-04
2022-04-30,Rajkot,Female,36-50,Lower-middle,Urban,124.76,110.95,13.82,11.07,2022-04
2024-12-01,Vadodara,Male,66+,Low,Rural,92.21,86.47,5.74,6.22,2024-12
2021-08-19,Other,Male,18-25,Lower-middle,Urban,133.22,123.41,9.82,7.37,2021-08
2023-01-19,Other,Male,51-65,Low,Rural,39.76,34.35,5.41,13.6,2023-01
2024-04-09,Other,Female,36-50,Upper-middle,Urban,171.29,149.22,22.07,12.89,2024-04
2022-06-25,Other,Male,36-50,Upper-middle,Rural,118.02,99.83,18.19,15.41,2022-06
2023-11-26,Ahmedabad,Female,36-50,Middle,Urban,82.89,68.56,14.33,17.29,2023-11
2022-06-09,Rajkot,Male,26-35,Low,Rural,64.21,59.02,5.19,8.09,2022-06
2024-03-29,Ahmedabad,Female,26-35,Middle,Rural,68.05,59.48,8.57,12.59,2024-03
2024-06-20,Surat,Female,51-65,Lower-middle,Urban,113.85,113.85,0.0,0.0,2024-06
2024-01-15,Rajkot,Female,0-17,Upper-middle,Rural,109.44,95.39,14.05,12.84,2024-01
2022-08-01,Surat,Male,0-17,Lower-middle,Rural,94.44,86.17,8.27,8.76,2022-08
2022-11-13,Other,Female,0-17,High,Rural,146.79,126.19,20.61,14.04,2022-11
2022-07-11,Other,Male,36-50,Upper-middle,Urban,121.03,120.17,0.86,0.71,2022-07
2023-10-10,Bhavnagar,Male,51-65,Low,Rural,79.37,75.9,3.47,4.37,2023-10
2022-10-08,Other,Male,0-17,Middle,Urban,127.99,109.11,18.88,14.75,2022-10
2023-03-07,Ahmedabad,Male,0-17,Lower-middle,Rural,40.69,33.63,7.06,17.35,2023-03
2023-11-18,Ahmedabad,Female,18-25,Middle,Urban,79.56,71.51,8.06,10.12,2023-11
2024-09-25,Ahmedabad,Male,51-65,Lower-middle,Urban,148.33,125.96,22.38,15.08,2024-09
2024-09-16,Vadodara,Female,0-17,Low,Urban,97.65,97.45,0.21,0.21,2024-09
2024-10-03,Other,Male,0-17,Lower-middle,Urban,102.02,82.94,19.08,18.71,2024-10
2024-06-08,Ahmedabad,Male,0-17,Middle,Urban,128.54,110.5,18.04,14.04,2024-06
2021-07-09,Ahmedabad,Male,51-65,Low,Urban,76.94,71.21,5.73,7.45,2021-07
2024-06-02,Surat,Male,0-17,Upper-middle,Urban,136.42,125.92,10.5,7.7,2024-06
2024-11-09,Ahmedabad,Male,51-65,Lower-middle,Rural,135.46,109.93,25.53,18.85,2024-11
2024-11-01,Surat,Female,26-35,Middle,Rural,66.72,62.06,4.66,6.98,2024-11
2024-07-30,Ahmedabad,Female,26-35,Low,Urban,78.63,71.18,7.45,9.47,2024-07
2022-09-25,Ahmedabad,Male,26-35,Low,Urban,37.28,32.85,4.42,11.87,2022-09
2022-09-20,Other,Male,26-35,Lower-middle,Rural,58.96,57.37,1.6,2.71,2022-09
2023-08-31,Other,Male,18-25,Lower-middle,Urban,123.52,107.33,16.19,13.11,2023-08
2024-07-06,Vadodara,Female,51-65,High,Urban,167.23,155.21,12.02,7.19,2024-07
2024-10-14,Rajkot,Female,26-35,Upper-middle,Rural,102.39,90.71,11.69,11.41,2024-10
2022-12-11,Vadodara,Female,66+,Middle,Rural,47.0,42.38,4.63,9.84,2022-12
2024-12-05,Other,Male,26-35,Middle,Urban,126.58,111.21,15.37,12.14,2024-12
2022-10-11,Ahmedabad,Male,51-65,Upper-middle,Urban,148.55,133.85,14.7,9.9,2022-10
2021-11-14,Ahmedabad,Male,36-50,Upper-middle,Rural,85.72,84.99,0.73,0.85,2021-11
2024-06-02,Surat,Female,26-35,Low,Rural,103.28,91.51,11.78,11.4,2024-06
2024-06-11,Surat,Male,36-50,Lower-middle,Rural,85.1,72.75,12.35,14.51,2024-06
2022-11-15,Other,Female,0-17,Low,Urban,71.25,54.15,17.1,24.0,2022-11
2022-10-26,Other,Female,18-25,Middle,Rural,89.36,76.34,13.02,14.57,2022-10
2024-10-29,Rajkot,Female,36-50,Upper-middle,Urban,131.93,128.52,3.42,2.59,2024-10
2024-06-10,Ahmedabad,Male,36-50,Upper-middle,Urban,103.74,89.13,14.6,14.08,2024-06
2024-02-11,Bhavnagar,Female,36-50,High,Rural,194.51,186.5,8.01,4.12,2024-02
2022-03-18,Rajkot,Male,26-35,Upper-middle,Urban,114.46,98.35,16.11,14.08,2022-03
2022-07-18,Ahmedabad,Other,0-17,Lower-middle,Rural,60.28,54.71,5.57,9.24,2022-07
2024-07-15,Other,Male,26-35,Low,Rural,107.65,96.97,10.67,9.92,2024-07
2024-11-10,Ahmedabad,Male,36-50,Lower-middle,Rural,80.39,73.16,7.23,8.99,2024-11
2024-11-11,Rajkot,Male,18-25,Middle,Rural,81.36,75.3,6.06,7.45,2024-11
2024-02-11,Surat,Female,36-50,Middle,Urban,86.35,78.77,7.58,8.78,2024-02
2023-08-10,Vadodara,Male,18-25,Upper-middle,Urban,171.32,163.08,8.24,4.81,2023-08
2024-01-10,Rajkot,Male,0-17,Lower-middle,Rural,118.97,102.4,16.56,13.92,2024-01
2022-11-30,Bhavnagar,Male,18-25,Middle,Rural,92.81,84.06,8.76,9.43,2022-11
2021-04-23,Ahmedabad,Male,18-25,Upper-middle,Rural,169.78,169.06,0.72,0.42,2021-04
2021-01-02,Vadodara,Female,51-65,Low,Urban,63.09,57.71,5.38,8.52,2021-01
2022-10-04,Rajkot,Male,26-35,Lower-middle,Urban,85.14,78.78,6.36,7.47,2022-10
2021-08-08,Other,Female,0-17,Low,Rural,50.16,41.58,8.58,17.11,2021-08
2023-05-05,Surat,Female,51-65,Middle,Urban,127.8,104.79,23.01,18.0,2023-05
2024-06-02,Gandhinagar,Female,18-25,Low,Urban,83.81,80.82,2.99,3.57,2024-06
2022-01-20,Other,Male,26-35,Upper-middle,Rural,69.59,61.21,8.37,12.03,2022-01
2024-11-27,Surat,Male,26-35,Upper-middle,Urban,99.56,89.79,9.77,9.81,2024-11
2024-02-28,Surat,Female,66+,Low,Rural,35.9,27.34,8.56,23.84,2024-02
2023-12-13,Surat,Female,18-25,Upper-middle,Urban,154.2,137.68,16.52,10.72,2023-12
2022-12-31,Other,Male,0-17,Low,Urban,119.34,119.34,0.0,0.0,2022-12
2024-12-10,Rajkot,Male,18-25,Middle,Rural,109.85,98.27,11.57,10.54,2024-12
2021-09-04,Other,Female,26-35,Middle,Rural,77.81,68.94,8.87,11.4,2021-09
2023-04-16,Vadodara,Male,18-25,High,Urban,145.19,130.56,14.63,10.08,2023-04
2021-07-22,Vadodara,Female,18-25,Lower-middle,Rural,107.97,88.4,19.58,18.13,2021-07
2024-04-22,Ahmedabad,Male,36-50,Middle,Urban,99.88,88.16,11.72,11.74,2024-04
2021-05-03,Other,Male,0-17,Middle,Urban,81.15,78.52,2.63,3.24,2021-05
2022-02-05,Rajkot,Male,51-65,High,Urban,216.36,187.76,28.6,13.22,2022-02
2023-02-06,Bhavnagar,Male,26-35,Lower-middle,Rural,119.89,114.38,5.51,4.6,2023-02
2021-10-21,Vadodara,Male,26-35,Upper-middle,Urban,123.56,117.47,6.09,4.93,2021-10
2021-10-07,Other,Female,26-35,Lower-middle,Urban,138.24,125.96,12.28,8.88,2021-10
2023-06-03,Vadodara,Female,18-25,Low,Rural,28.85,27.48,1.38,4.78,2023-06
2021-07-17,Vadodara,Female,26-35,Lower-middle,Urban,108.73,88.92,19.8,18.21,2021-07
2023-09-09,Other,Female,26-35,Lower-middle,Urban,156.46,156.39,0.07,0.04,2023-09
2023-01-22,Other,Male,0-17,Middle,Rural,60.34,52.05,8.3,13.75,2023-01
2021-05-24,Vadodara,Male,51-65,Middle,Rural,80.71,70.67,10.04,12.44,2021-05
2022-09-01,Other,Female,51-65,Low,Urban,100.12,81.8,18.32,18.3,2022-09
2024-05-09,Other,Female,26-35,Low,Urban,104.55,93.92,10.62,10.16,2024-05
2024-02-22,Other,Male,18-25,Lower-middle,Urban,84.48,81.26,3.23,3.82,2024-02
2021-07-06,Bhavnagar,Other,26-35,Low,Urban,119.34,116.61,2.73,2.29,2021-07
2024-09-11,Ahmedabad,Male,18-25,Middle,Rural,99.05,86.55,12.49,12.61,2024-09
2022-04-09,Surat,Female,0-17,Middle,Urban,46.31,42.71,3.6,7.78,2022-04
2024-10-04,Vadodara,Female,26-35,Low,Rural,140.48,128.54,11.94,8.5,2024-10
2022-10-22,Surat,Male,0-17,Upper-middle,Rural,115.16,99.39,15.76,13.69,2022-10
2023-02-03,Rajkot,Male,0-17,Middle,Urban,115.4,95.05,20.35,17.64,2023-02
2023-08-13,Ahmedabad,Female,0-17,High,Urban,132.65,116.58,16.07,12.11,2023-08
2022-02-07,Other,Male,51-65,Low,Urban,90.52,79.97,10.56,11.66,2022-02
2024-10-01,Other,Male,0-17,Middle,Urban,191.22,164.59,26.63,13.93,2024-10
2021-05-27,Surat,Male,18-25,Lower-middle,Rural,66.28,63.25,3.03,4.57,2021-05
2024-03-17,Other,Female,26-35,Lower-middle,Rural,130.32,124.03,6.29,4.83,2024-03
2023-05-14,Other,Female,26-35,Low,Rural,108.78,92.71,16.08,14.78,2023-05
2022-05-04,Ahmedabad,Female,0-17,Low,Rural,86.82,81.59,5.22,6.02,2022-05
2023-07-18,Ahmedabad,Female,51-65,Lower-middle,Urban,115.65,105.15,10.5,9.08,2023-07
2022-07-05,Other,Female,18-25,Middle,Rural,67.53,57.75,9.78,14.48,2022-07
2021-12-04,Other,Male,51-65,Upper-middle,Rural,69.56,66.69,2.87,4.13,2021-12
2023-05-22,Other,Female,18-25,Low,Rural,120.14,115.24,4.9,4.08,2023-05
2022-10-03,Other,Male,0-17,Low,Urban,73.85,68.66,5.19,7.02,2022-10
2022-04-18,Ahmedabad,Male,66+,Upper-middle,Urban,129.05,110.03,19.02,14.74,2022-04
2021-05-31,Other,Female,26-35,Middle,Urban,96.93,95.31,1.62,1.67,2021-05
2024-12-09,Other,Male,51-65,Low,Rural,81.65,78.09,3.57,4.37,2024-12
2024-08-14,Bhavnagar,Female,36-50,Low,Urban,110.41,88.43,21.97,19.9,2024-08
2021-09-20,Other,Male,0-17,Lower-middle,Rural,117.01,111.22,5.79,4.95,2021-09
2021-05-24,Bhavnagar,Female,51-65,Low,Urban,146.01,125.89,20.12,13.78,2021-05
2021-12-12,Ahmedabad,Male,0-17,Middle,Urban,151.95,134.32,17.62,11.6,2021-12
2022-09-16,Other,Male,26-35,Low,Urban,107.26,100.77,6.49,6.05,2022-09
2023-10-14,Other,Male,18-25,Lower-middle,Rural,41.62,37.4,4.23,10.16,2023-10
2023-05-31,Vadodara,Male,26-35,Lower-middle,Urban,108.38,99.33,9.05,8.35,2023-05
2021-01-02,Vadodara,Male,36-50,Middle,Rural,73.24,63.63,9.61,13.12,2021-01
2023-06-16,Other,Female,36-50,Upper-middle,Urban,111.32,100.3,11.02,9.9,2023-06
2024-08-20,Ahmedabad,Female,26-35,Lower-middle,Urban,84.04,69.13,14.91,17.74,2024-08
2021-09-11,Other,Male,0-17,Lower-middle,Rural,90.67,88.35,2.32,2.56,2021-09
2022-03-29,Vadodara,Male,0-17,Upper-middle,Urban,109.79,91.88,17.92,16.32,2022-03
2023-11-27,Other,Male,36-50,Middle,Urban,114.49,105.25,9.23,8.06,2023-11
2024-03-29,Surat,Male,51-65,Low,Urban,66.76,60.86,5.9,8.84,2024-03
2023-10-12,Bhavnagar,Female,51-65,Low,Urban,122.15,112.71,9.43,7.72,2023-10
2021-01-09,Other,Male,0-17,Upper-middle,Urban,101.77,96.1,5.67,5.57,2021-01
2024-06-10,Ahmedabad,Female,0-17,Low,Urban,115.78,97.96,17.82,15.39,2024-06
2024-01-28,Other,Male,36-50,Upper-middle,Urban,123.21,114.44,8.77,7.12,2024-01
2023-03-27,Bhavnagar,Female,36-50,Lower-middle,Rural,115.3,99.56,15.74,13.65,2023-03
2021-07-27,Other,Female,36-50,Lower-middle,Urban,187.17,159.02,28.16,15.04,2021-07
2024-02-29,Vadodara,Male,51-65,High,Urban,169.65,156.93,12.72,7.5,2024-02
2022-02-08,Surat,Female,18-25,Lower-middle,Rural,68.27,67.87,0.4,0.59,2022-02
2021-06-01,Surat,Female,0-17,High,Urban,190.13,169.76,20.37,10.71,2021-06
2021-02-23,Ahmedabad,Female,51-65,Middle,Rural,53.32,46.97,6.35,11.92,2021-02
2024-02-18,Bhavnagar,Male,36-50,Middle,Urban,124.31,114.57,9.73,7.83,2024-02
2022-09-20,Other,Female,36-50,Low,Rural,35.42,31.18,4.24,11.98,2022-09
2022-08-10,Other,Female,18-25,Low,Rural,106.38,92.66,13.72,12.89,2022-08
2024-12-14,Vadodara,Male,36-50,Middle,Urban,90.52,80.29,10.23,11.3,2024-12
2024-12-16,Other,Male,36-50,Lower-middle,Urban,80.99,73.8,7.18,8.87,2024-12
2021-04-14,Vadodara,Male,36-50,Middle,Urban,107.63,97.07,10.56,9.81,2021-04
2021-09-11,Gandhinagar,Male,36-50,Low,Rural,55.11,50.04,5.07,9.2,2021-09
