Customer_ID,Age_Group,Gender,Region,Annual_Income_£k
395,45-54,Male,South England,20-40
396,35-44,Male,Wales,20-40
397,35-44,Male,Wales,20-40
398,35-44,Male,Wales,20-40
399,45-54,Female,North England,60-80
400,55-64,Male,Wales,<20
401,55-64,Male,North England,60-80
402,55-64,Male,Scotland,40-60
403,18-24,Female,South England,20-40
404,35-44,Male,Wales,20-40
405,18-24,Male,Midlands,40-60
406,45-54,Female,Scotland,60-80
407,35-44,Other,North England,60-80
408,65+,Male,South England,60-80
409,35-44,Female,London,80+
410,25-34,Female,South England,40-60
411,25-34,Female,South England,80+
412,55-64,Male,Wales,60-80
413,45-54,Female,Wales,80+
414,25-34,Male,North England,<20
415,18-24,Female,North England,80+
416,55-64,Female,Wales,40-60
417,18-24,Male,Wales,60-80
418,55-64,Female,Midlands,<20
419,55-64,Male,Midlands,20-40
420,18-24,Female,Scotland,20-40
421,18-24,Male,Wales,20-40
422,65+,Male,London,<20
423,35-44,Male,Midlands,60-80
424,35-44,Female,North England,<20
425,55-64,Male,South England,20-40
426,65+,Male,Scotland,20-40
427,65+,Male,Midlands,40-60
428,55-64,Female,South England,20-40
429,35-44,Female,South England,20-40
430,18-24,Male,Midlands,40-60
431,55-64,Male,London,40-60
432,45-54,Male,London,<20
433,35-44,Male,Scotland,20-40
434,65+,Male,London,20-40
435,25-34,Female,Scotland,80+
436,35-44,Male,North England,20-40
437,18-24,Male,Midlands,40-60
438,35-44,Male,South England,20-40
439,18-24,Female,Scotland,40-60
440,25-34,Female,London,<20
441,25-34,Female,Scotland,<20
442,45-54,Male,Wales,40-60
443,55-64,Male,Scotland,20-40
444,45-54,Male,London,<20
445,65+,Male,Wales,40-60
446,35-44,Female,Wales,80+
447,35-44,Female,London,20-40
448,55-64,Female,Wales,40-60
449,25-34,Female,Midlands,80+
450,65+,Male,South England,60-80
451,18-24,Female,Midlands,40-60
452,65+,Male,Midlands,60-80
453,18-24,Male,London,<20
454,65+,Female,London,40-60
455,45-54,Male,South England,20-40
456,65+,Male,Scotland,20-40
457,18-24,Male,Midlands,20-40
458,45-54,Female,Wales,<20
459,65+,Female,South England,40-60
460,45-54,Male,Midlands,40-60
461,45-54,Female,Scotland,40-60
462,45-54,Male,Wales,<20
463,35-44,Male,Midlands,<20
464,45-54,Female,North England,40-60
465,45-54,Female,South England,80+
466,65+,Other,London,<20
467,18-24,Male,Midlands,20-40
468,35-44,Female,Wales,60-80
469,65+,Female,Wales,<20
470,65+,Female,South England,60-80
471,35-44,Male,South England,40-60
472,45-54,Female,Wales,20-40
473,25-34,Female,Wales,20-40
474,25-34,Male,Wales,20-40
475,35-44,Male,Midlands,20-40
476,35-44,Male,Wales,80+
477,45-54,Female,London,60-80
478,18-24,Female,Wales,40-60
479,65+,Female,London,60-80
480,65+,Female,Midlands,20-40
481,45-54,Female,South England,40-60
482,45-54,Male,London,40-60
483,35-44,Male,Midlands,60-80
484,55-64,Female,Wales,20-40
485,45-54,Male,Midlands,40-60
486,25-34,Male,Wales,80+
487,65+,Female,Midlands,20-40
488,55-64,Male,South England,<20
489,65+,Male,London,40-60
490,55-64,Male,South England,20-40
491,45-54,Male,North England,40-60
492,35-44,Female,Wales,80+
493,65+,Female,London,40-60
494,55-64,Female,South England,40-60
495,18-24,Male,London,40-60
496,18-24,Female,North England,<20
497,35-44,Female,Scotland,20-40
498,55-64,Female,Wales,80+
499,65+,Male,Wales,40-60
500,25-34,Female,Midlands,<20
501,45-54,Female,Wales,20-40
502,35-44,Female,Wales,40-60
503,65+,Female,South England,60-80
504,55-64,Male,Wales,60-80
505,55-64,Female,Wales,20-40
506,35-44,Male,North England,80+
507,35-44,Female,North England,40-60
508,25-34,Male,London,40-60
509,18-24,Male,London,40-60
510,55-64,Male,Wales,<20
511,55-64,Female,Wales,80+
512,65+,Male,Midlands,<20
513,65+,Female,London,20-40
514,45-54,Female,South England,60-80
515,55-64,Male,Wales,40-60
516,65+,Male,South England,60-80
517,55-64,Male,Wales,40-60
518,25-34,Female,South England,20-40
519,35-44,Female,Scotland,80+
520,25-34,Male,South England,<20
521,65+,Male,London,60-80
522,45-54,Female,Wales,20-40
523,25-34,Female,London,60-80
524,45-54,Female,South England,<20
525,45-54,Female,North England,40-60
526,35-44,Male,North England,80+
527,25-34,Male,North England,40-60
528,45-54,Male,Wales,60-80
529,45-54,Male,Midlands,60-80
530,55-64,Male,Scotland,60-80
531,45-54,Male,South England,80+
532,55-64,Male,Midlands,20-40
533,45-54,Female,North England,20-40
534,45-54,Female,South England,<20
535,65+,Female,Midlands,20-40
536,35-44,Female,London,<20
537,25-34,Male,North England,40-60
538,18-24,Female,Midlands,20-40
539,55-64,Male,Wales,<20
540,45-54,Female,London,<20
541,55-64,Male,North England,60-80
542,25-34,Other,Scotland,40-60
543,25-34,Male,North England,20-40
544,18-24,Male,Wales,80+
545,35-44,Female,Scotland,<20
546,45-54,Male,Scotland,80+
547,35-44,Female,Scotland,40-60
548,35-44,Female,South England,20-40
549,65+,Female,South England,40-60
550,35-44,Female,Scotland,60-80
551,45-54,Female,London,20-40
552,55-64,Male,Scotland,60-80
553,35-44,Female,Midlands,20-40
554,45-54,Female,Scotland,20-40
555,55-64,Female,South England,<20
556,65+,Male,South England,20-40
557,25-34,Female,Midlands,20-40
558,65+,Other,Midlands,80+
559,35-44,Female,North England,<20
560,25-34,Male,London,20-40
561,35-44,Male,London,40-60
562,65+,Male,London,80+
563,35-44,Female,Wales,80+
564,35-44,Female,South England,60-80
565,45-54,Male,London,80+
566,25-34,Male,North England,60-80
567,18-24,Male,North England,80+
568,25-34,Male,London,60-80
569,25-34,Female,Midlands,<20
570,25-34,Female,North England,20-40
571,25-34,Male,Midlands,40-60
572,45-54,Female,South England,20-40
573,25-34,Male,Wales,20-40
574,35-44,Female,North England,40-60
575,65+,Male,Midlands,80+
576,35-44,Male,London,<20
577,45-54,Male,South England,60-80
578,25-34,Female,Scotland,60-80
579,25-34,Female,Scotland,80+
580,18-24,Female,London,80+
581,25-34,Male,South England,60-80
582,25-34,Male,South England,40-60
583,25-34,Male,South England,20-40
584,18-24,Female,South England,40-60
585,25-34,Male,Scotland,60-80
586,35-44,Female,Midlands,80+
587,25-34,Female,South England,60-80
588,35-44,Female,Midlands,20-40
589,45-54,Male,South England,40-60
590,45-54,Male,North England,20-40
591,18-24,Male,Wales,<20
592,55-64,Female,North England,20-40
593,45-54,Female,Wales,<20
594,18-24,Male,North England,60-80
595,65+,Male,South England,20-40
596,65+,Female,Midlands,20-40
597,18-24,Female,Wales,80+
598,25-34,Male,Scotland,20-40
599,55-64,Female,London,<20
600,55-64,Male,Wales,20-40
601,25-34,Male,Wales,<20
602,25-34,Female,Scotland,<20
603,35-44,Female,South England,<20
604,35-44,Female,North England,40-60
605,45-54,Male,North England,20-40
606,35-44,Female,Midlands,20-40
607,35-44,Male,South England,60-80
608,55-64,Male,Scotland,20-40
609,18-24,Female,South England,80+
610,25-34,Male,South England,40-60
611,55-64,Female,North England,20-40
612,65+,Female,Scotland,60-80
613,45-54,Male,London,<20
614,45-54,Male,Wales,<20
615,25-34,Male,North England,40-60
616,35-44,Male,Scotland,40-60
617,45-54,Female,Midlands,60-80
618,25-34,Female,Wales,80+
619,25-34,Male,Wales,20-40
620,35-44,Male,North England,40-60
621,18-24,Female,Midlands,40-60
622,35-44,Female,North England,80+
623,25-34,Male,South England,60-80
624,35-44,Male,Scotland,80+
625,25-34,Female,Midlands,20-40
626,65+,Male,Wales,60-80
627,45-54,Male,North England,20-40
628,45-54,Female,Wales,20-40
629,55-64,Female,Midlands,80+
630,35-44,Female,Wales,<20
631,18-24,Female,North England,80+
632,45-54,Female,North England,<20
633,45-54,Male,London,60-80
634,55-64,Male,Wales,20-40
635,35-44,Male,London,20-40
636,25-34,Male,London,20-40
637,35-44,Female,Wales,40-60
638,35-44,Female,Midlands,20-40
639,45-54,Female,South England,40-60
640,45-54,Female,North England,<20
641,35-44,Male,Scotland,<20
642,65+,Male,London,<20
643,45-54,Female,Midlands,20-40
644,25-34,Female,Wales,60-80
645,25-34,Female,Midlands,80+
646,25-34,Female,Midlands,20-40
647,25-34,Female,Wales,40-60
648,25-34,Female,Scotland,60-80
649,25-34,Male,Wales,20-40
650,35-44,Female,Scotland,20-40
651,25-34,Female,Wales,40-60
652,65+,Male,London,<20
653,18-24,Female,Scotland,<20
654,45-54,Male,London,20-40
655,35-44,Female,Scotland,40-60
656,65+,Male,Scotland,<20
657,25-34,Female,Wales,20-40
658,35-44,Male,Scotland,20-40
659,65+,Female,London,<20
660,55-64,Male,Wales,20-40
661,55-64,Male,North England,80+
662,25-34,Female,London,<20
663,25-34,Female,North England,40-60
664,45-54,Male,Midlands,20-40
665,65+,Male,Wales,40-60
666,45-54,Female,Midlands,40-60
667,45-54,Female,Wales,20-40
668,25-34,Female,Wales,60-80
669,55-64,Male,London,40-60
670,25-34,Female,North England,60-80
671,35-44,Male,Wales,20-40
672,35-44,Male,North England,80+
673,45-54,Female,Wales,60-80
674,25-34,Female,North England,80+
675,25-34,Female,Midlands,40-60
676,45-54,Male,London,40-60
677,35-44,Male,Wales,60-80
678,45-54,Male,South England,80+
679,25-34,Other,North England,80+
680,35-44,Male,North England,20-40
681,45-54,Male,South England,60-80
682,18-24,Male,London,20-40
683,35-44,Female,North England,40-60
684,25-34,Male,London,20-40
685,18-24,Female,North England,20-40
686,65+,Male,Scotland,80+
687,35-44,Female,North England,<20
688,55-64,Male,Scotland,40-60
689,25-34,Female,Wales,40-60
690,45-54,Female,London,<20
691,55-64,Male,North England,20-40
692,45-54,Female,Midlands,40-60
693,35-44,Male,Midlands,20-40
694,35-44,Female,South England,60-80
695,35-44,Female,Midlands,80+
696,65+,Male,Scotland,20-40
697,55-64,Male,Midlands,20-40
698,65+,Male,Midlands,40-60
699,25-34,Male,Midlands,60-80
700,55-64,Male,North England,20-40
701,65+,Male,South England,<20
702,25-34,Male,London,40-60
703,18-24,Female,South England,80+
704,55-64,Male,Scotland,20-40
705,45-54,Male,North England,20-40
706,55-64,Female,Wales,80+
707,25-34,Male,North England,40-60
708,55-64,Male,Midlands,60-80
709,25-34,Male,Midlands,40-60
710,25-34,Female,Scotland,80+
711,25-34,Female,Wales,40-60
712,55-64,Male,North England,80+
713,45-54,Female,Wales,40-60
714,45-54,Female,London,60-80
715,35-44,Female,South England,20-40
716,65+,Female,North England,20-40
717,35-44,Female,Wales,60-80
718,55-64,Male,London,20-40
719,35-44,Male,London,40-60
720,35-44,Male,South England,20-40
721,35-44,Female,London,60-80
722,35-44,Female,Scotland,<20
723,55-64,Female,London,60-80
724,45-54,Other,Wales,40-60
725,25-34,Male,Scotland,20-40
726,65+,Female,London,40-60
727,35-44,Female,Midlands,20-40
728,45-54,Female,London,20-40
729,65+,Other,Scotland,20-40
730,45-54,Female,London,<20
731,25-34,Male,London,80+
732,65+,Female,London,<20
733,45-54,Male,Scotland,40-60
734,35-44,Female,London,20-40
735,25-34,Female,South England,40-60
736,55-64,Male,Wales,20-40
737,45-54,Female,South England,40-60
738,45-54,Male,Scotland,60-80
739,65+,Male,Midlands,40-60
740,55-64,Male,South England,<20
741,25-34,Female,Wales,40-60
742,35-44,Female,North England,20-40
743,25-34,Female,Wales,<20
744,55-64,Male,South England,20-40
745,18-24,Female,North England,20-40
746,45-54,Female,Scotland,40-60
747,55-64,Male,Wales,60-80
748,65+,Male,Midlands,20-40
749,35-44,Male,North England,20-40
750,55-64,Female,North England,<20
751,25-34,Female,Wales,40-60
752,55-64,Female,South England,40-60
753,25-34,Male,North England,20-40
754,35-44,Female,Scotland,60-80
755,55-64,Male,Wales,40-60
756,25-34,Male,Scotland,40-60
757,25-34,Female,Wales,40-60
758,55-64,Male,Scotland,40-60
759,55-64,Female,South England,40-60
760,45-54,Male,Wales,20-40
761,45-54,Female,Midlands,<20
762,45-54,Male,South England,20-40
763,25-34,Female,Scotland,40-60
764,35-44,Male,Wales,60-80
765,25-34,Male,South England,20-40
766,65+,Female,Scotland,20-40
767,45-54,Male,London,60-80
768,35-44,Female,London,60-80
769,35-44,Other,North England,80+
770,65+,Male,Midlands,40-60
771,25-34,Male,London,60-80
772,45-54,Female,Scotland,<20
773,45-54,Female,South England,<20
774,45-54,Female,Wales,<20
775,18-24,Female,South England,60-80
776,65+,Female,North England,<20
777,65+,Male,South England,40-60
778,45-54,Female,London,40-60
779,45-54,Female,South England,20-40
780,65+,Male,London,60-80
781,55-64,Male,London,20-40
782,25-34,Male,Midlands,20-40
783,45-54,Male,North England,60-80
784,45-54,Female,Scotland,<20
785,35-44,Male,London,40-60
786,55-64,Male,Wales,60-80
787,65+,Male,North England,80+
788,65+,Other,Scotland,60-80
789,35-44,Female,Wales,20-40
790,25-34,Male,South England,40-60
791,65+,Male,North England,<20
792,55-64,Other,Wales,20-40
793,25-34,Female,North England,<20
794,65+,Male,North England,20-40
795,55-64,Male,South England,60-80
796,45-54,Male,South England,20-40
797,45-54,Male,North England,40-60
798,35-44,Female,Wales,20-40
799,18-24,Female,Midlands,40-60
800,35-44,Female,London,80+
801,55-64,Female,South England,20-40
802,18-24,Male,Midlands,40-60
803,35-44,Female,South England,20-40
804,35-44,Female,North England,<20
805,45-54,Male,Midlands,40-60
806,65+,Male,Wales,60-80
807,35-44,Female,Wales,<20
808,35-44,Male,Scotland,<20
809,55-64,Male,London,20-40
810,35-44,Female,London,60-80
811,25-34,Other,South England,60-80
812,35-44,Male,London,40-60
813,25-34,Female,Scotland,40-60
814,25-34,Male,Wales,80+
815,35-44,Female,Midlands,60-80
816,35-44,Female,Midlands,60-80
817,65+,Female,Wales,60-80
818,35-44,Male,North England,40-60
819,45-54,Female,Wales,40-60
820,45-54,Female,Midlands,60-80
821,18-24,Male,South England,80+
822,45-54,Male,Scotland,<20
823,25-34,Male,Wales,<20
824,65+,Male,North England,80+
825,25-34,Female,South England,20-40
826,35-44,Male,Wales,60-80
827,18-24,Male,South England,20-40
828,65+,Female,Wales,<20
829,45-54,Male,South England,<20
830,45-54,Female,London,20-40
831,18-24,Male,South England,20-40
832,55-64,Female,London,40-60
833,25-34,Female,Midlands,60-80
834,65+,Female,London,80+
835,25-34,Male,South England,20-40
836,25-34,Female,Scotland,40-60
837,18-24,Male,Scotland,40-60
838,35-44,Male,Midlands,40-60
839,45-54,Male,South England,40-60
840,18-24,Female,London,<20
841,55-64,Male,Scotland,<20
842,35-44,Female,Wales,<20
843,45-54,Male,North England,<20
844,35-44,Male,South England,60-80
845,35-44,Female,Wales,20-40
846,45-54,Male,Wales,80+
847,25-34,Female,South England,80+
848,25-34,Male,North England,80+
849,55-64,Female,Scotland,80+
850,65+,Female,North England,20-40
851,35-44,Male,Midlands,40-60
852,25-34,Male,London,20-40
853,45-54,Female,London,60-80
854,35-44,Female,Wales,80+
855,18-24,Male,Scotland,60-80
856,25-34,Male,North England,20-40
857,55-64,Female,Wales,60-80
858,45-54,Female,South England,<20
859,18-24,Male,Wales,<20
860,25-34,Female,South England,60-80
