store_id,total_units,total_revenue,total_cost,total_profit,avg_margin_pct,median_income,population,annual_margin_pct,revenue_tier,margin_tier
S012,2056,20859.217895101898,10435.021526790428,10424.196368311468,49.02911288976325,45342.70246429743,19071,49.97405185915071,Low,Medium
S025,1995,20327.236742832363,10151.433819761443,10175.802923070918,49.22870917834362,44556.17275474817,6901,50.05994199707953,Low,Medium
S046,2060,20303.591905041983,10733.619217638905,9569.97268740308,46.450898542498834,42801.557916052916,12682,47.13438258688884,Low,Low
S011,1992,19551.978704727047,9861.177800480196,9690.800904246851,48.412169260465674,45365.82307187538,17604,49.56429756085978,Low,Low
S019,1852,19468.247303925855,9105.904938363823,10362.34236556203,52.35973267345069,40919.75924478789,21808,53.22688891193826,Low,High
S036,1793,19221.016013229626,9103.465700628816,10117.550312600808,52.22404650024617,37791.563500289776,17491,52.63795787713305,Low,High
S034,1932,18778.92517344931,9057.78205697409,9721.14311647522,51.2490819499559,39422.890710441,17408,51.76623809236705,Low,High
S020,1774,18070.02700760937,9102.526492798697,8967.500514810672,49.471113998421266,35876.962986647086,16774,49.6263813608824,Low,Medium
S017,1818,17854.16168013927,9178.226235951985,8675.935444187286,48.826350314001,39871.68879665576,19639,48.59335094874984,Low,Low
S027,1772,17833.914549496185,9001.294129583655,8832.620419912528,48.915663078561046,38490.06422577697,20435,49.527098469595686,Low,Low
S039,1733,17057.869756388296,8363.671321869773,8694.198434518523,49.93859641664378,36718.139511015695,17351,50.96884053334082,Low,Medium
S015,1626,16534.834898440276,7946.346376917762,8588.488521522515,50.806825005078814,32750.821674869672,24062,51.9417857769639,Low,High
S045,1580,16084.356261854107,7464.5269417523305,8619.829320101777,52.360215585672655,35214.780096325725,18039,53.59138519298213,Low,High
S024,1617,15722.04822074131,7618.555348328458,8103.492872412851,50.43632793126824,35752.51813786543,27823,51.54222120831763,Low,High
S050,1575,15574.00550282947,7796.576077368129,7777.4294254613405,49.933395890360124,32369.59844637266,18827,49.938530097785986,Low,Medium
S014,1502,15403.536550643226,7453.281502744695,7950.25504789853,51.155306920706785,30867.197553422022,14018,51.61318001070696,Low,High
S038,1531,14627.192780815594,7605.273552219052,7021.919228596543,47.07564481597138,30403.298761202244,21643,48.00592522309677,Low,Low
